# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
540,-32197.83896,16.39710397,0.001,0.012,0.135,0.0008165944166,0.02346428131
69,-32198.11362,16.67176365,0,0,0.038,4.274540219e-06,0.1233112977
638,-32198.11793,16.67607442,0,0,0.038,4.239103223e-06,0.1239138494
575,-32198.13022,16.68837003,0,0.001,0.052,1.130933871e-05,0.09336285708
620,-32198.13057,16.68872073,0,0.001,0.052,1.132960326e-05,0.09316668131
546,-32198.19846,16.75660756,0,0.008,0.11,0.0003197119871,0.05095677534
537,-32198.19853,16.75667483,0,0.008,0.11,0.0003196932396,0.05106564269
536,-32198.19856,16.75671218,0,0.008,0.11,0.0003196805033,0.05107276439
539,-32198.25809,16.81623531,0.001,0.007,0.11,0.0005681819988,0.004775923663
538,-32198.25813,16.81627622,0.001,0.007,0.11,0.0005681764221,0.004779889495
542,-32198.34338,16.90152249,0,0.006,0.101,0.0004060258689,0.02913251918
544,-32198.34344,16.90158822,0,0.006,0.101,0.0004059980596,0.02913735541
543,-32198.34344,16.90158822,0.001,0.006,0.101,0.0004059980596,0.02913735541
35,-32198.52669,17.08483943,0,0.001,0.157,6.836102894e-06,0.005507986189
71,-32198.72095,17.27910174,0,0,0.024,4.058801058e-06,0.117159321
70,-32198.72592,17.28406979,0,0,0.023,4.051766872e-06,0.09523380761
623,-32198.73117,17.28931567,0,0,0.022,4.024638079e-06,0.09672736934
36,-32198.8899,17.44804626,0,0.001,0.145,3.831213541e-06,2.297889463e-49
547,-32198.89996,17.45811035,0,0.005,0.076,0.0001415759956,0.05777453695
548,-32198.90007,17.45821941,0,0.005,0.076,0.0001415606118,0.05777130265
549,-32198.90013,17.45827917,0,0.005,0.076,0.0001415523619,0.05910939398
541,-32199.01825,17.57639282,0,0.005,0.086,0.0001688658228,0.05310919505
545,-32199.01828,17.57643066,0,0.005,0.086,0.000168847466,0.05328326534
457,-32199.11104,17.66918527,0,0.002,0.057,1.940672399e-05,0.001726178463
486,-32199.11133,17.66947269,0,0.002,0.057,1.933861711e-05,0.001805751521
423,-32199.3003,17.85845221,0,0.004,0.081,0.0002885928623,0.006110946838
573,-32199.37335,17.93149583,0,0.002,0.05,3.834813335e-05,1.284388987e-38
639,-32199.41252,17.9706712,0,0,0.033,4.45273404e-06,0.123875545
816,-32199.41403,17.97217808,0,0,0.033,4.432453229e-06,0.1246450975
624,-32199.45389,18.01203899,0,0,0.019,2.473368422e-06,0.04385467693
637,-32199.45394,18.01208429,0,0,0.019,2.477860154e-06,0.04450381333
424,-32199.46195,18.02009773,0,0.003,0.076,0.0001727301763,0.006836506669
534,-32199.51591,18.07405603,0,0.002,0.068,0.0003050413282,0.002904942607
533,-32199.51961,18.07775668,0,0.002,0.067,0.0002879283861,0.01811908423
72,-32199.74177,18.29991758,0,0,0.015,1.275103499e-06,0.09742658112
397,-32199.74431,18.30246216,0,0,0.015,1.273222341e-06,0.0972535868
558,-32199.77134,18.3294877,0,0,0.038,1.773523665e-05,5.623695054e-52
153,-32199.81116,18.36930815,0.001,0,0.051,0.0002494103913,0.04765726631
592,-32199.81157,18.36971752,0,0,0.057,6.114984357e-05,0.002227336905
425,-32199.9864,18.54454443,0.001,0.003,0.066,0.0001231498346,0.008259204391
426,-32199.99217,18.55031264,0,0.003,0.069,0.000116708117,0.01512175101
556,-32200.06853,18.62668041,0,0.002,0.045,4.624762254e-05,0.0196322336
553,-32200.06852,18.62667239,0,0.002,0.045,4.624386021e-05,0.01969430366
428,-32200.32344,18.88158375,0,0.002,0.039,7.022217971e-06,2.109795201e-09
455,-32200.3236,18.88175022,0,0.002,0.039,6.998985875e-06,2.805724041e-09
458,-32200.5031,19.06124961,0,0,0.032,5.404421706e-06,3.936155839e-06
483,-32200.50337,19.06152027,0,0,0.032,5.399866492e-06,5.590757756e-16
73,-32200.65484,19.21298938,0,0,0.012,9.838633212e-07,3.267834582e-30
429,-32200.69332,19.25146426,0,0.003,0.037,5.285470647e-06,3.938323045e-10
446,-32200.69351,19.25166158,0,0.003,0.038,5.325509793e-06,1.559892008e-09
